issf_core_id,attribute__attribute_label,value,attribute_value__value_label,country,region
2323,Main gear type(s):,,Hooks and lines,Mexico,Latin America and the Caribbean
3190,Main gear type(s):,,Hooks and lines,Mexico,Latin America and the Caribbean
3596,Main gear type(s):,,Hooks and lines,Benin,Africa
3632,Main gear type(s):,,Hooks and lines,South Africa,Africa
3559,Main gear type(s):,,Hooks and lines,Nigeria,Africa
3278,Main gear type(s):,,Hooks and lines,Iceland,Europe
2551,Main gear type(s):,,Hooks and lines,France,Europe
2417,Main gear type(s):,,Hooks and lines,Iceland,Europe
2419,Main gear type(s):,,Hooks and lines,Ireland,Europe
2343,Main gear type(s):,,Hooks and lines,Tanzania,Africa
3654,Main gear type(s):,,Hooks and lines,Ecuador,Latin America and the Caribbean
3640,Main gear type(s):,,Hooks and lines,Zimbabwe,Africa
2404,Main gear type(s):,,Hooks and lines,Thailand,Asia and Oceania
3643,Main gear type(s):,,Hooks and lines,South Africa,Africa
3387,Main gear type(s):,,Hooks and lines,Netherlands,Europe
3634,Main gear type(s):,,Hooks and lines,Nigeria,Africa
3569,Main gear type(s):,,Hooks and lines,Nigeria,Africa
2321,Main gear type(s):,,Hooks and lines,Colombia,Latin America and the Caribbean
3561,Main gear type(s):,,Hooks and lines,Nigeria,Africa
3598,Main gear type(s):,,Hooks and lines,Cape Verde,Africa
3432,Main gear type(s):,,Hooks and lines,Jamaica,Latin America and the Caribbean
2533,Main gear type(s):,,Hooks and lines,Brazil,Latin America and the Caribbean
2365,Main gear type(s):,,Hooks and lines,Micronesia,Asia and Oceania
3592,Main gear type(s):,,Hooks and lines,Gambia,Africa
3458,Main gear type(s):,,Hooks and lines,Kiribati,Asia and Oceania
3219,Main gear type(s):,,Hooks and lines,Philippines,Asia and Oceania
3583,Main gear type(s):,,Hooks and lines,Sierra Leone,Africa
3560,Main gear type(s):,,Hooks and lines,Ghana,Africa
3576,Main gear type(s):,,Hooks and lines,Togo,Africa
3186,Main gear type(s):,,Hooks and lines,Uruguay,Latin America and the Caribbean
2546,Main gear type(s):,,Hooks and lines,Indonesia,Asia and Oceania
2542,Main gear type(s):,,Hooks and lines,Indonesia,Asia and Oceania
3631,Main gear type(s):,,Hooks and lines,Zimbabwe,Africa
3455,Main gear type(s):,,Hooks and lines,Peru,Latin America and the Caribbean
3653,Main gear type(s):,,Hooks and lines,Philippines,Asia and Oceania
3179,Main gear type(s):,,Hooks and lines,Spain,Europe
3338,Main gear type(s):,,Hooks and lines,Lao PDR,Asia and Oceania
2677,Main gear type(s):,,Hooks and lines,Greece,Europe
3697,Main gear type(s):,,Hooks and lines,Zambia,Africa
3191,Main gear type(s):,,Hooks and lines,France,Europe
3181,Main gear type(s):,,Hooks and lines,Spain,Europe
3664,Main gear type(s):,,Hooks and lines,Philippines,Asia and Oceania
3161,Main gear type(s):,,Hooks and lines,Mozambique,Africa
3339,Main gear type(s):,,Hooks and lines,Lao PDR,Asia and Oceania
3159,Main gear type(s):,,Hooks and lines,Malta,Europe
2288,Main gear type(s):,,Hooks and lines,Brazil,Latin America and the Caribbean
2424,Main gear type(s):,,Hooks and lines,Colombia,Latin America and the Caribbean
3218,Main gear type(s):,,Hooks and lines,Eritrea,Africa
3235,Main gear type(s):,,Hooks and lines,Turks and Caicos Is.,Latin America and the Caribbean
2144,Main gear type(s):,,Hooks and lines,Cambodia,Asia and Oceania
3593,Main gear type(s):,,Hooks and lines,Guinea,Africa
2354,Main gear type(s):,,Hooks and lines,Greenland,Europe
2513,Main gear type(s):,,Hooks and lines,Tanzania,Africa
2143,Main gear type(s):,,Hooks and lines,Canada,North America and Canada
3580,Main gear type(s):,,Hooks and lines,Liberia,Africa
2370,Main gear type(s):,,Hooks and lines,Maldives,Asia and Oceania
